[ 2025-09-11 10:27:19,503 ] 160 numexpr.utils - INFO - NumExpr defaulting to 4 threads.
[ 2025-09-11 10:27:28,271 ] 29 root - INFO - Entered the data ingestion method or component
[ 2025-09-11 10:27:28,427 ] 32 root - INFO - exported the dataset as dataframe
[ 2025-09-11 10:27:28,746 ] 37 root - INFO - Train test split initiated
[ 2025-09-11 10:27:29,083 ] 44 root - INFO - Ingestion of the data is completed
[ 2025-09-11 10:27:29,382 ] 66 root - INFO - Read train and test data completed
[ 2025-09-11 10:27:29,382 ] 68 root - INFO - obtaining preprocessing objects
[ 2025-09-11 10:27:29,431 ] 45 root - INFO - Numerical columns:['Soil_Quality', 'Seed_Variety', 'Fertilizer_Amount_kg_per_hectare', 'Sunny_Days', 'Rainfall_mm', 'Irrigation_Schedule']
[ 2025-09-11 10:27:29,435 ] 47 root - INFO - Categorical columns: []
[ 2025-09-11 10:27:29,438 ] 81 root - INFO - Applying preprocessing object on training dataframe and testing dataframe
[ 2025-09-11 10:27:29,511 ] 94 root - INFO - Saved preprocessing object.
[ 2025-09-11 10:27:29,527 ] 34 root - INFO - splitting train and test input data
[ 2025-09-11 10:34:50,211 ] 110 root - INFO - best model on both training and testing dataset
