[ 2025-09-11 10:21:26,469 ] 160 numexpr.utils - INFO - NumExpr defaulting to 4 threads.
[ 2025-09-11 10:21:32,498 ] 29 root - INFO - Entered the data ingestion method or component
[ 2025-09-11 10:21:32,720 ] 32 root - INFO - exported the dataset as dataframe
[ 2025-09-11 10:21:32,900 ] 37 root - INFO - Train test split initiated
[ 2025-09-11 10:21:33,171 ] 44 root - INFO - Ingestion of the data is completed
[ 2025-09-11 10:21:33,326 ] 66 root - INFO - Read train and test data completed
[ 2025-09-11 10:21:33,327 ] 68 root - INFO - obtaining preprocessing objects
[ 2025-09-11 10:21:33,370 ] 45 root - INFO - Numerical columns:['Soil_Quality', 'Seed_Variety', 'Fertilizer_Amount_kg_per_hectare', 'Sunny_Days', 'Rainfall_mm', 'Irrigation_Schedule']
[ 2025-09-11 10:21:33,371 ] 47 root - INFO - Categorical columns: []
[ 2025-09-11 10:21:33,373 ] 81 root - INFO - Applying preprocessing object on training dataframe and testing dataframe
[ 2025-09-11 10:21:33,402 ] 94 root - INFO - Saved preprocessing object.
[ 2025-09-11 10:21:33,407 ] 34 root - INFO - splitting train and test input data
