Soil_Quality,Seed_Variety,Fertilizer_Amount_kg_per_hectare,Sunny_Days,Rainfall_mm,Irrigation_Schedule,Yield_kg_per_hectare
71.97367465674188,1,88.52773446013136,94.04332100997668,457.3540301502495,5,776.4749899780976
91.05847807447574,1,83.62881722759192,103.98575210784848,300.77570840938404,9,1029.739203485784
57.13278879995024,1,74.56869957152952,121.42549016297563,519.1772897814984,2,545.2509577766164
81.64585561382899,0,82.21990193795193,104.44694719391768,604.0390138475269,7,444.3372203601355
55.91567747353696,1,141.18237899674807,109.518217041847,585.767242764216,5,765.4275310310188
98.17997221974436,0,176.03513177184286,93.92586923122214,393.88873224437054,5,558.8717446385268
74.8888453912671,1,222.1393268183748,75.18330380174078,522.6124503071723,5,721.393998076942
65.6226642329842,0,255.3333159998573,106.35770199897868,450.4817769949276,5,653.3701171955518
81.39826322843169,1,125.6889275603904,87.56181202240766,588.1244861895792,3,696.358871815066
80.79658072641351,1,163.8259895869981,94.42420746851477,559.5898569463926,6,840.3147018241814
78.6316498337375,1,298.3120460011895,95.48644952850265,315.4948926351017,5,926.1257989912444
54.0715917783169,1,248.91527914876465,87.52319150891974,626.7298378915709,7,853.6626517525622
63.35187565913523,1,254.76744682996164,93.02468658699811,482.70461042140425,5,886.3334667197271
82.6615429849591,1,269.74974743837544,106.4880982278976,398.4088531441717,11,1258.035669983501
50.647013863147954,1,119.3190145454406,92.78806507251298,590.4719432746185,5,645.3040685884775
93.27922808852796,1,230.87251598153804,70.68137776899026,517.9162992724341,4,781.3366756143718
84.48069984417405,1,96.99556411291584,96.0377465947565,380.9050488766968,6,949.8295326351914
75.94949601932159,0,125.58066547412268,108.01592349088476,419.759374393544,10,767.0506927124063
60.13980205934976,1,187.52972493172817,104.00193637390636,415.8944989364229,3,656.0917825897477
99.17692714247111,1,224.8447336444216,106.0481279332528,375.47035469790256,5,1068.561660489656
92.59579543260674,1,63.763659679867175,116.8487076272141,557.1332126287253,4,712.2720728001331
61.27942198113058,1,205.27795440022464,111.4122882418942,428.6401876454806,1,568.0919219053906
97.49583095285575,1,94.21774132023089,97.2690424817712,720.5075694604984,3,550.5905697241616
57.90941608477797,0,114.25159342982391,99.25239894042126,466.9744295378438,11,751.6001520815906
92.71634438193928,0,110.79317513292644,100.86211961806886,450.7615965935251,4,505.9941353190709
52.77525857193854,1,267.31183302677243,98.22986567798132,412.1131460455249,6,875.1823905765331
91.36932298357996,1,260.7577575982288,99.55603538356188,378.39794502520647,6,1023.1054718379244
71.31616427368976,1,175.48730641365933,75.8143303780276,624.1937649727817,9,838.873853935442
54.64602631999208,1,54.16791325527915,83.31605049461845,503.0513415225768,5,617.8267427898011
76.85950176429037,1,125.24629874808592,93.77672838688451,624.9925554579827,3,637.366429861027
83.78445738221333,1,249.62398738928692,112.55465424585964,616.1688279155594,4,752.9666401195237
56.337988978921786,1,50.22940028735879,113.19780559812686,344.0372819411938,5,769.9984407352161
80.23562247645695,1,212.88728892213285,90.7249787291238,491.6604772572656,4,721.1759181069477
84.88642008924796,1,126.99269318386654,107.52470081978166,557.1883226533462,4,695.4806797047339
90.2418201881673,1,202.10690512587084,104.78909563091352,382.2441799880708,6,1004.335182575095
56.50680390544539,0,101.20700230738817,99.56139460914842,319.41334561451146,3,361.16164328653787
52.14886411489281,1,201.29166941102503,109.3787324921247,472.1182360208342,2,702.9286394935831
70.91385177424894,1,56.00900037200691,90.19463212689467,570.5532623604547,3,478.8999373806281
76.79439962855311,0,238.21570957030232,93.87055220808196,370.604850304924,6,622.2987821647345
76.20767877046389,1,147.14722321955475,89.59027144906977,693.4221893537979,3,509.227117780814
89.89980075857733,1,102.31883491745586,91.59565722428717,473.894771722246,1,559.2501958408385
95.880431397169,1,147.63134341341396,93.04364657164945,397.3298018748309,5,935.9647103080232
83.80338785152998,1,212.794242661814,97.25635286344696,364.22367483724383,4,954.0603120353476
64.79075142400015,1,74.85510396557153,96.93756046494649,318.2894032476556,7,900.7367432281404
91.91432375074078,1,94.80653187595554,126.0388072144398,421.9328712192953,4,730.0849255626445
64.10397545246738,1,199.8333562889389,98.97728456135503,435.878280073724,4,749.1362736733108
84.8241215350725,1,286.8565970876822,92.8542048421154,479.1429642823512,5,870.6618656730697
66.36203557696929,1,155.16980474573157,106.26045399122368,537.1925443948309,4,728.1364812949275
51.81944247366159,0,237.63391890811545,92.149375904019,500.7783521044992,6,533.2878332470978
88.88479884075375,1,129.95002982286914,105.37351694142016,411.3958553711688,3,802.8627725819738
84.54861042552838,1,175.84501491358623,83.5305360001733,637.441321325849,5,745.6522704096533
92.26867685536018,1,139.78450898526864,104.7427425734146,470.3616049191057,4,674.1337852642712
72.02887848293426,0,107.86127686837396,92.36309061769218,351.9096396495579,4,424.1380066019781
59.36358448848502,1,247.0732860922174,105.29206610543812,437.1341798983251,8,962.8163784964976
91.00112179348758,1,125.63448809545972,98.70443187295064,472.2568921182631,7,968.4313432048992
87.66508023046482,1,268.6797677230728,92.86832099012553,580.5881489446176,5,816.8588555871455
67.01958936018914,1,205.68117174408192,111.89177140148054,487.0242328433131,6,926.9452782567388
